ticker;name;country;founded_year;website;main_hub
SU;Аэрофлот;Российская федерация;1932;www.aeroflot.ru;SVO
S7;S7 Airlines;Российская федерация;1963;www.s7.ru;OVB
TK;Turkish Airlines;Турция;1933;www.turkishairlines.com;IST
AA;American Airlines;США;1926;www.aa.com;CLT
UA;United Airlines;США;1926;;ORD
